Substance,Macro-region,Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
GWP_100_AR5_CO2,Africa,Deforestation,1676.7133953,1676.7133953,1676.7133953,1676.7133953,1676.7133953,1676.7133953,1676.7133953,1676.7133953,1676.7133953,1676.7133953,1676.7133953,1699.8946005,1696.8262981,1706.3014757,1649.3726733,1649.4209037,1639.9105768,1646.2815917,1669.4968412,1676.5724769,1691.6142061,2095.5038798,2029.686059,2036.397256,2043.608301,1747.230324,1751.438946,1755.391066,1755.664972,1755.664972,1755.664972,1755.664972,1755.664972
GWP_100_AR5_CH4,Africa,Fires,374.24733301241,333.59415287201,329.21642474764,399.1803764508,342.05589828551,342.05589828551,368.67390253873,187.1692332309,363.89911189233,314.1613853329,425.70396601761,363.77191565536,297.78752786515,295.89884227094,292.62064980756,326.76494793925,285.00631879906,290.65222364054,308.57396812331,320.92751295493,300.85027842277,331.44140537824,312.06431798723,289.12040860401,229.06162245631,271.41074935191,293.528398949,276.09750772939,324.98148152445,284.10229228248,250.24527963023,231.3417940652,249.53588071179
GWP_100_AR5_CO2,Africa,Fires,125.89947402044,108.36267788012,122.6730404525,193.62309412874,124.39852623769,124.39852623769,138.62793970928,47.570906903019,125.65529369347,158.83925613667,273.56389316974,173.07228690602,163.18492337392,117.87454214959,118.7279222938,132.4119295046,139.84670583767,131.50078642526,176.07033870006,122.35535047988,206.30210374927,316.08930253949,225.6572649077,134.66321740628,88.52303064996,98.3530470704,105.09601193291,141.46731727391,88.38697279466,77.70492046194,147.93751018694,244.12248555948,178.42601158519
GWP_100_AR5_N2O,Africa,Fires,117.80662216531,111.63752471303,117.52787019978,123.42330306009,110.95267315423,110.95267315423,126.43362639725,63.856813989458,120.65380585047,113.18348827392,137.71255255432,119.45690373898,87.917329097521,103.01730318093,93.402569746233,111.2140972131,98.210203491954,101.68595839063,104.45474150608,91.440883893379,101.46436022979,104.51849486554,97.823499497194,93.753969008544,85.411081887225,90.114447747984,99.33494220207,87.478348232422,85.160903265683,76.634617820966,88.192805926883,89.767992621303,89.856337034209
GWP_100_AR5_CO2,Africa,Forest Land,-2311.0357358781,-2271.7916307462,-2175.0600978306,-2071.792272655,-1962.6071114428,-1860.5159547606,-1811.6045879458,-1763.1471348096,-1727.6369586723,-1681.4573446491,-1605.0431237314,-1548.9631737572,-1510.1627674951,-1448.5686471525,-1422.3326020897,-1342.5963279297,-1274.3469910319,-1234.991334211,-1267.7841138207,-1239.5208809204,-1187.5678230165,-1133.8238298598,-1096.6424048499,-1049.361648905,-998.85786508691,-941.17731283972,-935.57379790155,-894.48437847612,-854.22936543049,-833.96764500188,-786.2154951172,-740.68651502413,-700.19639424066
GWP_100_AR5_CO2,Africa,Other Land,49.58253,48.56223,47.40293,46.37363,45.32633,44.26203,43.17973,42.08043,40.96313,39.82883,38.37253,37.94623,39.26903,38.10613,37.17343,37.80002,36.79192,36.82592,36.84942,37.94142,37.89752,38.54636,38.65317,36.61493,34.60501,35.00044,35.25614,34.87894,34.87894,34.87894,34.87894,34.87894,34.87894
GWP_100_AR5_CO2,Asia-Pacific Developed,Deforestation,177.08907186008,163.55334134746,120.58172362895,105.27110847952,92.647893726941,82.308427386924,77.43534344219,76.954203433932,75.327450345454,85.580231524357,84.627266643995,98.806352418322,93.610935872617,87.797477875893,88.761566500471,108.76413969722,109.7305012964,115.54860739186,80.815288437849,70.158847741773,75.003275960385,61.080929038718,56.478727555993,62.669863401215,63.496011270596,52.816537880135,52.679373963486,50.699538337499,53.893549185198,39.23191490035,43.092932370073,42.745176074507,42.745176074507
GWP_100_AR5_CH4,Asia-Pacific Developed,Fires,27.12631517636,30.222795062392,35.120678707897,43.596009071988,28.561818157375,28.561818157375,25.309289175089,12.344580770699,29.932083740963,30.76125215828,40.117722594941,49.477787973022,59.017264077113,25.053820037904,37.317249298477,14.316839234187,41.462802547001,34.774704586457,17.515652040538,24.572378857819,9.9519874563908,63.172797660748,62.526444243264,19.303098129547,30.458902606048,27.48233315441,14.69743702103,34.719454891644,34.655008721587,41.729708176448,19.871845496526,14.671117312121,16.440625441169
GWP_100_AR5_CO2,Asia-Pacific Developed,Fires,312.08240506355,354.05619723096,419.2249029859,756.19126203134,386.5183377283,386.5183377283,241.85721532066,143.90849579813,381.22440643244,466.6358264011,699.80525373491,790.19979751507,1122.3675135356,285.33550777758,579.25369613652,139.55586332362,678.6779876913,588.12108346191,229.93442245578,268.69651221172,129.15091415085,1257.9601519254,1161.2098660255,256.62023031569,470.60667133166,457.23626130223,170.71056008484,671.31247423252,571.45875982132,510.04516945412,219.08794672564,195.6864648923,250.17001984397
GWP_100_AR5_N2O,Asia-Pacific Developed,Fires,18.690850164381,19.747989097659,24.191735392656,33.508583772252,21.070134854705,21.070134854705,18.457407697428,8.3808606705746,21.455149682437,24.420151112366,31.034150415775,40.728500112291,48.76120321591,18.116904339719,31.827054368824,11.864366840468,33.465740400895,29.088678158571,14.898252263074,19.476771318337,8.3811633955848,53.930379855,52.942953203063,15.156667594635,25.146450946757,23.082421569213,11.654581079841,29.337533774707,28.714803133985,27.117910473469,12.708533506087,12.425053768062,14.009399697056
